"Amostra","Latitude","Longitude","Elevation","Ca","Mg","Na","Cl","HCo3","Co3","No3","RS"
"CN-82",-14.0383333333333,-40.9791666666667,285.9004,405,243,500,1500,683.2,0,29.5,4010
"CN-90",-14.355,-39.5069444444444,107,80,255,225,900,361.1,0,0,2170
"CN-93",-14.4516666666667,-40.0536111111111,339.7998,16,14.6,37,86,73.2,0,1.5,240
"CN-94",-14.6583333333333,-39.8994444444444,215,82,116.6,120.5,480,234.2,0,0,1233
"IN-02",-12.0630555555556,-37.7258333333333,5.7998047,16.8,13.12,40,112,46.36,0,0,246
"IN-05",-12.2566666666667,-38.0369444444444,40.90039,20,2.43,21.5,40,34.16,0,39,172
"IN-06",-12.3716666666667,-38.0741666666667,82,1.64,1.94,6.5,10,14.84,0,0,37
"IN-07",-12.3897222222222,-37.8830555555556,4,136,60.75,325,580,361.12,0,157.5,1782
"IN-08",-12.2216666666667,-37.7516666666667,0,4,3.88,23,38,29.28,0,0,102
"IN-09",-12.15,-38.1166666666667,122.40039,2.4,4.37,32.5,49,37.82,0,0,182
"IN-10",-12.275,-38.05,94.600586,17.6,3.89,12.75,21,65.88,0,0,122
"IN-11",-12.4833333333333,-38.0333333333333,75.200195,4.8,0.49,5.4,10,12.2,0,0,45
"JQ-01",-12.9302777777778,-39.8933333333333,551.2002,600,935.55,1250,5700,207.4,0,0,9021
"JQ-02",-13.4927777777778,-40.0469444444444,663.9004,52.6,34.02,90,340,19.52,0,9.5,767
"JQ-05",-13.2263888888889,-40.2288888888889,776.1006,880,583.2,1825,6200,9.76,0,0,12222
"JQ-05",-13.15888888889,-40.178888888889,873.2002,820,573.2,1625,6200,9.76,0,0,12222
"JQ-05",-13.188889,-40.188888889,883.6006,816,563.2,1725,6200,9.76,0,0,12222
"JQ-05",-13.1688888889,-40.28888889,862,860,513.2,1775,6200,9.76,0,0,12222
"JQ-06",-13.2508333333333,-40.0827777777778,534.4004,370,340,690,2750,53.68,0,0,5108
"JQ-07",-13.0258333333333,-40.0705555555556,570.9004,265,486,450,2300,161.04,0,290,4164
"JQ-09",-13.0986111111111,-39.7930555555556,549.2002,61,38.9,252,600,58.6,0,0,1160
"JQ-10",-13.0397222222222,-39.6575,418.2002,63,38,167,450,73.2,0,2,1016
"JQ-11",-13.6177777777778,-39.9780555555556,712.5,101,60.75,296,800,85.4,0,4,1703
"JQ-13",-13.2544444444444,-39.6419444444444,395.2002,22.4,21.38,60,190,31.72,0,0,508
"JQ-23",-13.6697222222222,-39.1163888888889,34,1.63256,0.97,3,6,7.32,0,0,77
"JQ-25",-13.285,-38.9719444444444,2.100586,100,85.1,418,825,497.8,0,57.5,1960
"JQ-26",-13.1627777777778,-39.4538888888889,176.10059,19.2,15.6,75,160,80.5,0,0,396
"JQ-27",-13.0430555555556,-39.4558333333333,284,20.8,16.1,26.2,17,146.4,12,0,323
"JQ-28",-12.9016666666667,-39.7511111111111,351.7002,360,558.9,792,3300,146.4,0,0,6057
"JQ-29",-13.7277777777778,-39.4972222222222,180.7998,20.6,24,65.6,69,201,0,0,0
"JQ-30",-13.3416666666667,-39.8611111111111,552.1006,130,172,545,1600,27,0,0,0
"JQ-31",-13.2805555555556,-39.8222222222222,407.9004,9.5,18.6,317,435,134,0,0,0
"JQ-32",-12.7388888888889,-39.7194444444444,355.2002,153,330,840,2470,122,0,0.5,0
"JQ-33",-12.8944444444444,-39.7222222222222,340,9,10.8,159,226,44,0,0.9,496.4
"JQ-34",-12.8625,-39.8569444444444,389,2.4,2.4,2.7,3.9,0,0,8.8,5
"JQ-35",-14.34,-39.4102777777778,77.90039,1.7,1.8,4.4,6.7,0,0,1.8,8
"PD-03",-14.8036111111111,-40.6469444444444,889.4004,36,34,72,257.5,14.6,0,10.5,474
"PD-04",-14.7452777777778,-40.5116666666667,953,18,24.3,77.5,177.5,87.8,0,13.5,400
"PD-05",-14.8872222222222,-40.8572222222222,896.2998,40.37,43.7,111,385,24.4,0,0,680
"PD-07",-14.9458333333333,-40.9413888888889,838,23.2,12.2,7.9,13,124.4,0,2,142
"PD-08",-14.9530555555556,-40.2286111111111,610.7998,31.2,17.5,8.8,15,158.6,9.6,1.5,238
"PD-09",-15.2352777777778,-39.3575,128.7998,14.4,12.2,27.2,78,43.9,0,1.5,243
"PD-11",-15.6580555555556,-38.9858333333333,5,14.4,13.6,27.5,78,46.36,0,0,234
"PD-12",-15.7483333333333,-39.4672222222222,255.2002,300,158,440,1625,151.3,0,0,3260
"PD-18",-15.785,-41.8622222222222,793.6006,40.5,21.9,70.4,205,80.5,0,0,474
"PD-19",-15.6602777777778,-40.8991666666667,837,1.6615,2.5,2.3,3,17.1,0,0,39
"PD-21",-15.5088888888889,-41.0572222222222,609.5,34,24.3,50,100,134.2,0,0,420
"PD-23",-15.6986111111111,-40.2197222222222,375.9004,124,57.1,19,300,78.08,0,0,690
"PD-25",-15.4658333333333,-40.3216666666667,296.7002,14.4,11.66,25,62,56.12,0,0,190
"PD-26",-15.5763888888889,-39.8633333333333,161.7998,16.8,11.66,20,50,85.4,0,0,190
"PD-28",-15.8144444444444,-40.1413888888889,180.2002,12.8,0.97,10,15,36.6,0,0,77
"PD-29",-15.0538888888889,-40.3313888888889,292,1.665465,0.48,3.5,1,14.64,0,0,31
"PD-31",-15.8469444444444,-41.9991666666667,924.4004,21.6,13.12,41.91,57,100,0,50,350
"PD-34",-15.6866666666667,-41.66,782.7998,13.6,9.23,60,95,92.72,0,4,310
"PD-35",-15.6019444444444,-41.8530555555556,723.5,12.8,7.77,15.5,28,68.32,0,6.5,150
"PD-38",-15.2852777777778,-40.9555555555556,877.1006,12.8,11.66,56,60,97.6,0,57.5,310
