Latitude,Longitude,MG
-12.1138888888889,-41.1,12.20
-12.1138888888889,-41.1,19.70
-12.9472222222222,-41.0944444444444,11.00
-12.05,-40.8180555555556,6.80
-12.0125,-40.5652777777778,1.30
-12.0444444444444,-40.3972222222222,5.30
-12.025,-40.4833333333333,1.70
-12.3069444444444,-40.4541666666667,0.36
-12.1175,-39.7208333333333,0.97
-12.2722222222222,-39.275,7.10
-12.7402777777778,-39.8475,1.15
-12.8625,-39.8569444444444,1.35
-12.8097222222222,-39.5027777777778,1.60
-12.7916666666667,-39.0916666666667,6.10
-12.7827777777778,-39.2138888888889,1.20
-12.975,-39.2541666666667,1.08
-13.1541666666667,-40.7583333333333,1.20
-12.5313888888889,-39.5113888888889,7.80
-12.3511111111111,-39.2372222222222,6.50
-12.4683333333333,-39.5569444444444,39.60
-12.1711111111111,-40.2647222222222,3.95
-12.8286111111111,-39.5472222222222,2.06
-12.6844444444444,-41.8127777777778,3.70
-12.9727777777778,-40.9488888888889,2.20
-12.3602777777778,-41.5113888888889,9.60
-12.8377777777778,-41.7766666666667,0.80
-12.2927777777778,-40.5477777777778,606.00
-12.3247222222222,-40.3925,80.30
-12.0630555555556,-41.0180555555556,36.70
-12.7472222222222,-40.2008333333333,0.97
-12.7472222222222,-40.2008333333333,2.78
-13.0177777777778,-40.8127777777778,4.82
-12.9819444444444,-41.0819444444445,0.40
-13.045,-41.0877777777778,0.40
-13,-41.4108333333333,0.25
-12.7880555555556,-41.2555555555556,0.17
-12.8197222222222,-40.8308333333333,181.00
-12.1261111111111,-40.3286111111111,128.00
-12.1261111111111,-40.4655555555556,3.45
-13.3333333333333,-41.3561111111111,0.18
-12.4052777777778,-41.3836111111111,5.50
-12.4772222222222,-41.1916666666667,6.10
-12.4675,-39.9222222222222,215.00
-12.3333333333333,-40.1461111111111,211.00
-12.5313888888889,-40.2283333333333,120.00
-12.9991666666667,-40.5844444444444,2.25
-12.9819444444444,-40.5386111111111,4.08
-12.6022222222222,-39.4747222222222,2.65
-12.8558333333333,-40.3833333333333,3.28
-12.3422222222222,-41.155,11.10
-12.2522222222222,-41.1461111111111,11.30
-12.2069444444444,-41.1369444444444,0.25
-12.0988888888889,-40.4838888888889,1.70
-12.1891666666667,-39.6666666666667,0.97
-12.6755555555556,-40.8675,2.00
-12.9188888888889,-40.1186111111111,1.60
-12.1711111111111,-41.7213888888889,0.85
-12.3241666666667,-40.5202777777778,10.10
-13.3241666666667,-40.6575,1.20
