12.5719444444444,38.8952777777778,CA,Mg,Na,k
12.7827777777778,39.2138888888889,4.40,2.67,25.75,6.20
12.975,39.2541666666667,3.60,13.60,227.50,14.20
13.1541666666667,40.7583333333333,261.00,311.52,210.00,30.00
12.5313888888889,39.5113888888889,20.00,0.95,30.00,3.00
12.3511111111111,39.2372222222222,10.40,3.40,19.00,1.00
12.4683333333333,39.5569444444444,1.60,0.97,34.00,5.00
12.1711111111111,40.2647222222222,4.00,6.07,94.00,9.20
12.8286111111111,39.5472222222222,14.00,6.31,127.50,11.80
12.6844444444444,41.8127777777778,52.00,2.67,29.00,7.50
12.9727777777778,40.9488888888889,63.60,20.70,11.20,3.10
12.3602777777778,41.5113888888889,57.10,7.20,9.45,2.30
12.8377777777778,41.7766666666667,158.00,27.60,23.90,5.00
12.2927777777778,40.5477777777778,103.50,35.00,41.30,8.40
12.3247222222222,40.3925,578.00,67.00,51.00,6.60
12.0630555555556,41.0180555555556,47.60,44.80,29.00,8.60
12.7472222222222,40.2008333333333,87.80,60.00,26.50,8.46
12.7472222222222,40.2008333333333,56.60,141.00,605.00,3.65
13.0177777777778,40.8127777777778,1600.00,831.00,0.00,0.00
12.9819444444444,41.0819444444445,305.00,343.00,335.00,39.80
13045,41.0877777777778,341.00,34.50,233.00,8.10
13,41.4108333333333,478.00,645.00,910.00,17.80
12.7880555555556,41.2555555555556,466.00,755.00,775.00,27.90
12.8197222222222,40.8308333333333,380.00,252.00,1335.00,54.50
12.1261111111111,40.3286111111111,10.50,7.10,152.00,8.30
12.1261111111111,40.4655555555556,4.20,10.70,193.00,8.60
13.3333333333333,41.3561111111111,17.60,26.90,135.00,32.20
12.4052777777778,41.3836111111111,1.20,6.00,52.80,13.40
12.4772222222222,41.1916666666667,3.40,3.50,30.80,2.40
12.4675,39.9222222222222,3.60,3.30,14.60,1.30
12.3333333333333,40.1461111111111,538.00,507.00,585.00,61.20
12.5313888888889,40.2283333333333,77.40,90.00,433.00,13.50
12.9991666666667,40.5844444444444,189.00,210.00,980.00,5.30
12.9819444444444,40.5386111111111,35.30,110.00,463.00,2.70
12.6022222222222,39.4747222222222,6.80,5.00,13.40,8.90
12.8558333333333,40.3833333333333,5.80,5.90,49.50,11.50
12.3422222222222,41.155,260.00,102.00,140.00,11.50
12.2522222222222,41.1461111111111,126.00,206.00,412.00,10.30
12.2069444444444,41.1369444444444,9.30,9.00,101.90,4.26
12.0988888888889,40.4838888888889,260.00,85.00,170.00,7.90
12.1891666666667,39.6666666666667,109.00,78.00,128.00,13.40
12.6755555555556,40.8675,149.00,92.00,157.00,10.80
12.9188888888889,40.1186111111111,529.00,73.80,403.00,8.80
12.1711111111111,41.7213888888889,195.00,80.00,80.00,4.20
12.3241666666667,40.5202777777778,601.00,161.00,278.00,6.90
13.3241666666667,40.6575,729.00,142.00,232.00,7.60
,,185.00,28.00,32.50,7.70
,,227.00,36.50,74.00,5.50
,,73.30,46.10,55.10,7.40
,,12.60,12.00,129.00,5.40
,,14.70,24.30,41.50,11.30
,,49.80,26.70,106.00,13.00
,,60.00,180.00,995.00,64.50
,,2.80,1.90,19.30,1.60
,,28.20,19.00,160.00,5.20
,,0.10,1.90,11.30,0.70
,,13.80,25.30,94.30,7.00
,,26.10,12.30,63.80,5.40
,,14.50,15.00,89.70,30.60
,,9.70,11.60,76.30,9.00
,,16.50,18.50,140.00,11.60
,,6.10,1.90,6.40,12.50
,,2.70,3.30,40.00,4.60
,,28.40,42.60,1230.00,6.55
,,48.40,87.20,253.00,2.80
,,42.50,80.40,354.00,53.00
,,282.00,217.00,155.00,10.00
