Latitude,Longitude,CA,MG,Na,K,Cl,So4,HCo3,Co3,No3,RS
-12.5972222222222,-41.025,103.50,35.00,41.30,8.40,21.50,38.80,545.00,0.00,0.50,794.00
-12.675,-41.0138888888889,578.00,67.00,51.00,6.60,24.00,1,460.00,247.00,0.00,11.90
-12.6916666666667,-41.0055555555556,47.60,44.80,29.00,8.60,75.50,1.00,320.00,0.00,0.00,0.00
-12.7277777777778,-40.4972222222222,87.80,60.00,26.50,8.46,69.00,62.00,464.00,0.00,0.00,0.00
-12.1527777777778,-39.2361111111111,56.60,141.00,605.00,3.65,800.00,99.00,930.00,0.00,0.50,0.00
-12.825,-40.9,1600.00,831.00,0.00,0.00,3600.00,380.00,488.00,0.00,0.00,9960.00
-12.6555555555556,-40.7277777777778,305.00,343.00,335.00,39.80,1,900.00,143.00,20.00,0.00,0.00
-12.6055555555556,-40.6916666666667,341.00,34.50,233.00,8.10,588.00,52.50,149.00,0.00,0.00,0.00
-12.6305555555556,-40.6638888888889,478.00,645.00,910.00,17.80,3,350.00,739.00,382.00,0.00,3.90
-12.6611111111111,-40.6138888888889,466.00,755.00,775.00,27.90,387.00,147.00,79.00,0.00,220.00,0.00
-12.6611111111111,-40.6138888888889,380.00,252.00,1335.00,54.50,3010.00,77.00,293.00,0.00,274.00,0.00
-12.5555555555556,-39.4777777777778,10.50,7.10,152.00,8.30,255.00,5.80,38.40,0.00,17.50,0.00
-12.5305555555556,-39.4472222222222,4.20,10.70,193.00,8.60,205.00,6.80,20.30,0.00,186.00,0.00
-12.5305555555556,-39.4472222222222,17.60,26.90,135.00,32.20,216.00,1.80,0.00,0.00,239.00,0.00
-12.5111111111111,-39.0083333333333,1.20,6.00,52.80,13.40,61.40,2.30,6.10,0.00,79.00,0.00
-12.625,-39.1638888888889,3.40,3.50,30.80,2.40,24.00,0.20,21.00,0.00,463.00,0.00
-12.6666666666667,-39.1055555555556,3.60,3.30,14.60,1.30,2.30,4.50,6.00,0.00,18.60,0.00
-12.9083333333333,-39.1972222222222,538.00,507.00,585.00,61.20,3070.00,120.00,253.00,0.00,0.90,0.00
-12.1583333333333,-39.1138888888889,77.40,90.00,433.00,13.50,542.00,89.00,520.00,0.00,284.00,0.00
-12.2666666666667,-39.1972222222222,189.00,210.00,980.00,5.30,1735.00,340.00,906.00,0.00,10.90,0.00
-12.3083333333333,-39.0305555555556,35.30,110.00,463.00,2.70,558.00,151.00,784.00,0.00,33.80,0.00
-12.6055555555556,-39.0361111111111,6.80,5.00,13.40,8.90,25.00,6.60,12.00,0.00,29.70,0.00
-12.625,-40.9555555555556,5.80,5.90,49.50,11.50,82.60,12.10,31.00,0.00,10.40,208.00
-12.6416666666667,-40.9416666666667,260.00,102.00,140.00,11.50,745.00,35.30,323.00,0.00,0.00,0.00
