"Latitude","Longitude","CA","MG","Na","K","Cl","So4","HCo3","Co3","No3","RS"
"-12,7658333333333","-38,1769444444444",16,6.07,37.5,4,45,43.2,48.8,0,12.5,220
"-12,6","-38,6",60.8,9.23,31,14.5,44,64.39,68.34,0,0,362
"-12,25","-38,9333333333333",4.8,0.48,37,6,42,2.88,48,0,0,0
"-12,0105555555556","-38,6341666666667",9.6,2.91,19,5.6,40,1,21.96,0,14,122
"-12,1138888888889","-41,1",59.3,19.7,15.5,3.8,37.4,13.6,238,0,0,378.3
"-12,3166666666667","-38,9333333333333",2.4,2.67,27.55,4.9,36.5,7.68,41.48,0,0,0
"-12,2666666666667","-38,9333333333333",1.6,3.16,30,4.9,36,6.72,46.36,0,0,0
"-12,9541666666667","-38,3563888888889",28,3.9,16.6,1.3,35,10.8,85.4,0,12,190
"-12,7827777777778","-39,2138888888889",2.6,1.2,70.5,1.3,34.5,20.2,70,0,50.4,250.7
"-12,0666666666667","-38,55",4.8,3.4,17.25,1.12,34.5,8.65,9.76,0,0,80
"-12,7555555555556","-39,2111111111111",2.7,3.3,40,4.6,34,52,9,0,15,0
"-12,7166666666667","-39,1777777777778",2.8,1.9,19.3,1.6,34,0.4,15,0,0.5,0
"-12,2694444444444","-38,9416666666667",1.6,0.97,34,5,33,20.18,21.96,0,0,0
"-12,8072222222222","-41,7997222222222",17.6,6.8,12,5.2,31,0.5,65.88,0,1.5,156
"-12,8333333333333","-38,2666666666667",11.2,3.4,24.25,16.7,30,10.09,70.82,0,0,188
"-12,5013888888889","-38,4930555555556",22,9.72,37,4,30,7.5,146.4,0,0,260
"-12,2530555555556","-41,6194444444445",52,26.73,7.5,4,30,24.4,217.16,0,3.5,348
"-12,65","-38,1666666666667",4,0.97,17.5,1,30,1.92,9.76,0,0,111
"-12,7916666666667","-39,0916666666667",4.2,6.1,22.7,8,29.5,22.4,9,0,27.2,129
"-12,3333333333333","-38,9333333333333",1.6,1.46,27.25,4,29.5,4.8,41.48,0,0,0
"-12,2166666666667","-38,2166666666667",6.4,3.89,13.75,4.62,29,6.73,8.54,0,20.5,120
"-12,025","-40,4833333333333",3.6,1.7,18,3.1,29,6.4,18.2,0,0.5,80
"-12,0988888888889","-40,4838888888889",3.6,1.7,18,3.1,29,6.4,18.2,0,0,0.5
"-12,2533333333333","-38,9333333333333",1.6,1.94,25.05,2.95,29,5.76,43.92,0,0,0
"-12,6805555555556","-41,2138888888889",63.6,20.7,11.2,3.1,28.4,7.9,265,0,0,0
"-12,2833333333333","-38,9333333333333",2.4,1.45,27.5,4.6,28,6.72,51.24,0,0,0
"-12,0327777777778","-40,4861111111111",3.2,2.9,14.4,2.5,28,3.4,14.6,0,0,90
"-12,8286111111111","-39,5472222222222",1.65,2.06,16.5,1.82,28,0.2,19,0,0,0.2
"-12,7833333333333","-38,4",52,2.67,29,7.5,27,8.64,63.44,0,0,0
"-12,3","-38,9333333333333",3.2,0.48,25,5,26,1.92,39.04,0,0,0
"-12,0688888888889","-41,0933333333333",35.2,22.35,13.5,3.8,26,2.8,200.08,0,0,215
"-12,0938888888889","-41,4419444444444",3.2,5.83,14.8,3.4,26,0.3,26.84,0,12.5,85
"-12,6055555555556","-39,0361111111111",6.8,5,13.4,8.9,25,6.6,12,0,29.7,0
"-12,5719444444444","-38,8952777777778",9.6,7.77,14,4.1,25,0.7,21.96,0,55,138.13
"-13,3252777777778","-40,4291666666667",5.6,1.45,13.5,2,25,2,24.4,0,0,75
"-12,5041666666667","-41,2152777777778",14.4,8.74,6.3,1.2,25,1.3,65.85,0,0,91
"-12,2666666666667","-38,525",11.2,22.84,113.75,34.6,24.99,7.39,0,0,0,0
"-12,675","-41,0138888888889",578,67,51,6.6,24,1,460,247,0,11.9
"-12,3583333333333","-38,2333333333333",1.6,2.43,13.75,4.48,24,4.81,8.54,0,5.8,70
"-12,625","-39,1638888888889",3.4,3.5,30.8,2.4,24,0.2,21,0,463,0
"-12,8625","-39,8569444444444",0.4,1.35,16.5,2.4,24,8,11,0,0.2,76
"-12,7505555555556","-41,9452777777778",24.8,4.86,11,1.4,24,2,85.4,0,0,172
"-12,0125","-40,5652777777778",1.9,1.3,17.5,3.05,23.8,0.3,16,0,0,63.9
"-12,2644444444444","-38,9333333333333",15.2,10.69,25.5,10,23,37.95,89.6,0,0,0
"-12,9897222222222","-39,1302777777778",7.2,5.4,18,2.8,23,1.5,70.8,0,0,140
"-12,2883333333333","-41,1675",23.2,12.63,8.7,2,23,2.7,114.68,0,0,212
"-12,6844444444444","-41,8127777777778",9,3.7,6,2.15,22.1,0.6,24.4,0,0,0.2
"-12,5936111111111","-41,1441666666667",104,36.45,37,7.2,22,177,322,0,2,673
"-12,0055555555556","-41,0513888888889",35.5,19.7,12.2,5.1,22,5,198,0,1.1,298
"-12,9325","-38,6255555555556",25.6,17.98,14.4,4.1,22,10.9,158.6,0,0,235
"-12,5972222222222","-41,025",103.5,35,41.3,8.4,21.5,38.8,545,0,0.5,794
"-12,6416666666667","-41,1722222222222",57.1,7.2,9.45,2.3,21.5,2.4,198,0,2,0
"-12,2527777777778","-38,9333333333333",4.4,2.67,25.75,6.2,21,12.49,53.68,0,0,0
"-12,3380555555556","-38,85",20,0.95,30,3,21,29.79,80.52,0,0,0
"-12,1175","-39,7208333333333",1,0.97,12.5,0.5,20.8,8.8,3,0,42.5,0
"-12,1891666666667","-39,6666666666667",1,0.97,12.5,0.5,20.8,8.8,3,0,0,0.5
"-12,6","-38,5666666666667",3.2,1.46,9.75,2.18,20.5,4.8,7.32,0,2.9,69
"-12,8097222222222","-39,5027777777778",2,1.6,9.5,1.1,20.5,3.6,6,0,0,0.5
"-12,7072222222222","-38,4536111111111",6.6,4.37,8,3,20,3.5,24.4,0,2,72
"-12,3833333333333","-38,15",1.6,1.94,10.75,1.56,20,6.73,8.54,0,0,56
"-12,4","-38,75",4,3.4,8.75,3.6,19.5,10.57,16.98,0,0,112
"-12,3602777777778","-41,5113888888889",24.1,9.6,6.5,1.3,19.4,4.2,98,0,0.5,0
"-12,3422222222222","-41,155",20.7,11.1,9.5,2.85,19.3,3.1,112,0,0,0.5
"-12,6333333333333","-38,6166666666667",4.8,1.46,9.75,4.18,19,5.77,7.32,8.75,60,0
"-12,3166666666667","-38,7666666666667",2.4,6.8,8.75,1.75,19,7.69,4.88,0,17.6,70
"-12,2522222222222","-41,1461111111111",20.9,11.3,9.5,2.8,18.8,3.2,114,0,0,0.5
"-12,7747222222222","-38,7766666666667",7.2,2.41,5.5,0.2,18,3,17.08,0,0,55
"-12,7833333333333","-38,4",6.8,2.19,10.73,3.34,17.5,9.61,29.28,0,0,116
"-12,1138888888889","-41,1",37.5,12.2,8.6,3.1,17.2,6.8,159,0,0,244.4
"-12,7166666666667","-39,1777777777778",0.1,1.9,11.3,0.7,17.1,0.8,14,0,5.2,0
"-12,4","-38,4666666666667",1.6,1.94,10.75,5.06,17,5.77,10.98,0,0,82
"-12,65","-38,4680555555556",10.4,1.94,8.75,3.34,16.5,5.77,34.16,0,0,80
"-12,7183333333333","-41,2658333333333",63.2,22.35,7.4,4.2,16,2.4,285.48,0,2.5,384
"-12,16","-38,4194444444444",4,1.45,7.5,0.2,16,0.4,4.88,0,7,48
"-12,4666666666667","-38,55",4,4.81,9.5,1.86,15.5,7.41,41.96,0,3.3,70
